

Name,Stage,Stimulus,RotateMode,RotateAxis,RotateDir,Control,Time,X,Z,VelX,VelZ,pitch,roll
test,x,Particle,Fixed,Roll,None,Controller,0,-37.88,9.53,0,0,34.44,157.63
test,x,Particle,Fixed,Roll,None,Controller,0.1,-37.88001,9.566805,-0.0003037517,0.5032727,34.22,157.87
test,x,Particle,Fixed,Roll,None,Controller,0.2,-37.88065,9.732768,-0.01159822,2.092478,33.99,157.98
test,x,Particle,Fixed,Roll,None,Controller,0.3,-37.88243,9.951103,-0.0298662,3.101576,33.99,157.98
test,x,Particle,Fixed,Roll,None,Controller,0.4,-37.8893,10.42884,-0.07269655,4.346512,33.82,158.04
test,x,Particle,Fixed,Roll,None,Controller,0.5,-37.89761,10.82009,-0.1280377,5.282206,33.67,158.09
test,x,Particle,Fixed,Roll,None,Controller,0.6,-37.91537,11.41306,-0.2099605,6.30593,33.49,158.16
test,x,Particle,Fixed,Roll,None,Controller,0.7,-37.94841,12.24799,-0.3201773,7.367624,33.33,158.26
test,x,Particle,Fixed,Roll,None,Controller,0.8000001,-37.97718,12.86202,-0.385982,7.885006,33.08,158.38
test,x,Particle,Fixed,Roll,None,Controller,0.9000001,-38.0303,13.85935,-0.4886953,8.677751,32.93,158.37
test,x,Particle,Fixed,Roll,None,Controller,1,-38.08494,14.77672,-0.5807684,9.4724,32.86,158.37
test,x,Particle,Fixed,Roll,None,Controller,1.1,-38.13342,15.55126,-0.618936,9.792271,32.86,158.37
test,x,Particle,Fixed,Roll,None,Controller,1.2,-38.1981,16.56322,-0.6651906,10.37421,32.71,158.51
test,x,Particle,Fixed,Roll,None,Controller,1.3,-38.28105,17.8767,-0.7079351,11.44797,32.55,158.66
test,x,Particle,Fixed,Roll,None,Controller,1.4,-38.33866,18.84656,-0.7243341,12.53098,32.48,158.82
test,x,Particle,Fixed,Roll,None,Controller,1.5,-38.4105,20.17911,-0.709116,13.84207,32.32,158.99
test,x,Particle,Fixed,Roll,None,Controller,1.6,-38.47851,21.63693,-0.6559159,15.05628,32.2,159.17
test,x,Particle,Fixed,Roll,None,Controller,1.7,-38.53909,23.21108,-0.5681396,16.18699,32.12,159.33
test,x,Particle,Fixed,Roll,None,Controller,1.8,-38.58953,24.87818,-0.4566374,17.05552,32.12,159.33
test,x,Particle,Fixed,Roll,None,Controller,1.9,-38.62767,26.62989,-0.3311237,17.77762,32.08,159.38
test,x,Particle,Fixed,Roll,None,Controller,2,-38.65402,28.42467,-0.2181533,18.05825,32.02,159.5
test,x,Particle,Fixed,Roll,None,Controller,2.1,-38.67044,30.61975,-0.0804354,18.4487,31.99,159.58
test,x,Particle,Fixed,Roll,None,Controller,2.2,-38.67242,32.11143,0.01119417,18.82129,31.94,159.66
test,x,Particle,Fixed,Roll,None,Controller,2.3,-38.66545,34.01568,0.1107696,19.27486,31.89,159.73
test,x,Particle,Fixed,Roll,None,Controller,2.4,-38.64835,35.99214,0.2079429,20.08592,31.75,159.84
test,x,Particle,Fixed,Roll,None,Controller,2.5,-38.6174,38.45821,0.2897152,20.87345,31.63,159.91
test,x,Particle,Fixed,Roll,None,Controller,2.6,-38.58535,40.5813,0.3388882,21.4543,31.56,159.92
test,x,Particle,Fixed,Roll,None,Controller,2.7,-38.5567,42.3201,0.3690468,21.92109,31.56,159.92
test,x,Particle,Fixed,Roll,None,Controller,2.799999,-38.51827,44.54173,0.3929183,22.41043,31.47,159.96
